Authors,Title,Publication year,Pages,Page Count,ISBN,URLs,Abstract,Keywords
"Lebeck K,Kohno T,Roesner F",Enabling Multiple Applications to Simultaneously Augment Reality: Challenges and Directions,2019,81–86,5,9781450362733,https://doi.org/10.1145/3301293.3302362,"Augmented reality (AR) platforms are evolving to support immersive 3D experiences. Most modern AR platforms support only a single immersive app at a time, but users may also benefit from the ability to engage with multiple apps at once. The ability of different apps to simultaneously augment a user's world raises critical questions: how might apps visually conflict with each other, and how can we design AR platforms to support rich behaviors while mediating conflicts? In this work, we pose and explore these questions, identifying means of visual conflict as well as platform design strategies to mediate conflicts. We then analyze state-of-the-art AR platforms (HoloLens, Magic Leap One, and Meta 2) to understand their trade-offs and identify unexplored gaps in the broader design space. Our exploration reveals key guidelines and lessons to inform future multi-app AR efforts.","security, augmented reality"
"Dudley JJ,Jacques JT,Kristensson PO",Crowdsourcing Design Guidance for Contextual Adaptation of Text Content in Augmented Reality,2021,,0,9781450380966,https://doi.org/10.1145/3411764.3445493,"Augmented Reality (AR) can deliver engaging user experiences that seamlessly meld virtual content with the physical environment. However, building such experiences is challenging due to the developer’s inability to assess how uncontrolled deployment contexts may influence the user experience. To address this issue, we demonstrate a method for rapidly conducting AR experiments and real-world data collection in the user’s own physical environment using a privacy-conscious mobile web application. The approach leverages the large number of distinct user contexts accessible through crowdsourcing to efficiently source diverse context and perceptual preference data. The insights gathered through this method complement emerging design guidance and sample-limited lab-based studies. The utility of the method is illustrated by re-examining the design challenge of adapting AR text content to the user’s environment. Finally, we demonstrate how gathered design insight can be operationalized to provide adaptive text content functionality in an AR headset.","Privacy, Crowdsourcing, Augmented Reality"
"Mathis F,Vaniea K,Khamis M",RepliCueAuth: Validating the Use of a Lab-Based Virtual Reality Setup for Evaluating Authentication Systems,2021,,0,9781450380966,https://doi.org/10.1145/3411764.3445478,"Evaluating novel authentication systems is often costly and time-consuming. In this work, we assess the suitability of using Virtual Reality (VR) to evaluate the usability and security of real-world authentication systems. To this end, we conducted a replication study and built a virtual replica of CueAuth [52], a recently introduced authentication scheme, and report on results from: (1) a lab-based in-VR usability study (N=20) evaluating user performance; (2) an online security study (N=22) evaluating system’s observation resistance through virtual avatars; and (3) a comparison between our results and those previously reported in the real-world evaluation. Our analysis indicates that VR can serve as a suitable test-bed for human-centred evaluations of real-world authentication schemes, but the used VR technology can have an impact on the evaluation. Our work is a first step towards augmenting the design and evaluation spectrum of authentication systems and offers ground work for more research to follow.","Research Method, Authentication, Virtual Reality, Usable Security"
"Abdelrahman Y,Mathis F,Knierim P,Kettler A,Alt F,Khamis M",CueVR: Studying the Usability of Cue-Based Authentication for Virtual Reality,2022,,0,9781450397193,https://doi.org/10.1145/3531073.3531092,"Existing virtual reality (VR) authentication schemes are either slow or prone to observation attacks. We propose CueVR, a cue-based authentication scheme that is resilient against observation attacks by design since vital cues are randomly generated and only visible to the user experiencing the VR environment. We investigate three different input modalities through an in-depth usability study (N=20) and show that while authentication using CueVR is slower than the less secure baseline, it is faster than existing observation resilient cue-based schemes and VR schemes (4.151 s – 7.025 s to enter a 4-digit PIN). Our results also indicate that using the controllers’ trackpad significantly outperforms input using mid-air gestures. We conclude by discussing how visual cues can enhance the security of VR authentication while maintaining high usability. Furthermore, we show how existing real-world authentication schemes combined with VR’s unique characteristics can advance future VR authentication procedures.","Authentication, Virtual Reality, Usable Security"
"Lebeck K,Kohno T,Roesner F",How to Safely Augment Reality: Challenges and Directions,2016,45–50,5,9781450341455,https://doi.org/10.1145/2873587.2873595,"Augmented reality (AR) technologies, such as those in head-mounted displays like Microsoft HoloLens or in automotive windshields, are poised to change how people interact with their devices and the physical world. Though researchers have begun considering the security, privacy, and safety issues raised by these technologies, to date such efforts have focused on input, i.e., how to limit the amount of private information to which AR applications receive access. In this work, we focus on the challenge of output management: how can an AR operating system allow multiple concurrently running applications to safely augment the user's view of the world? That is, how can the OS prevent apps from (for example) interfering with content displayed by other apps or the user's perception of critical real-world context, while still allowing them sufficient flexibility to implement rich, immersive AR scenarios? We explore the design space for the management of visual AR output, propose a design that balances OS control with application flexibility, and lay out the research directions raised and enabled by this proposal.","augmented reality, security"
"O'Hagan J,Saeghe P,Gugenheimer J,Medeiros D,Marky K,Khamis M,McGill M",Privacy-Enhancing Technology and Everyday Augmented Reality: Understanding Bystanders' Varying Needs for Awareness and Consent,2023,,0,,https://doi.org/10.1145/3569501,"Fundamental to Augmented Reality (AR) headsets is their capacity to visually and aurally sense the world around them, necessary to drive the positional tracking that makes rendering 3D spatial content possible. This requisite sensing also opens the door for more advanced AR-driven activities, such as augmented perception, volumetric capture and biometric identification - activities with the potential to expose bystanders to significant privacy risks. Existing Privacy-Enhancing Technologies (PETs) often safeguard against these risks at a low level e.g., instituting camera access controls. However, we argue that such PETs are incompatible with the need for always-on sensing given AR headsets' intended everyday use. Through an online survey (N=102), we examine bystanders' awareness of, and concerns regarding, potentially privacy infringing AR activities; the extent to which bystanders' consent should be sought; and the level of granularity of information necessary to provide awareness of AR activities to bystanders. Our findings suggest that PETs should take into account the AR activity type, and relationship to bystanders, selectively facilitating awareness and consent. In this way, we can ensure bystanders feel their privacy is respected by everyday AR headsets, and avoid unnecessary rejection of these powerful devices by society.","Biometrics, Privacy, Extended Perception, Augmented Reality, Altered Reality, Bystanders"
"Liebers J,Abdelaziz M,Mecke L,Saad A,Auda J,Gruenefeld U,Alt F,Schneegass S",Understanding User Identification in Virtual Reality Through Behavioral Biometrics and the Effect of Body Normalization,2021,,0,9781450380966,https://doi.org/10.1145/3411764.3445528,"Virtual Reality (VR) is becoming increasingly popular both in the entertainment and professional domains. Behavioral biometrics have recently been investigated as a means to continuously and implicitly identify users in VR. Applications in VR can specifically benefit from this, for example, to adapt virtual environments and user interfaces as well as to authenticate users. In this work, we conduct a lab study (N = 16) to explore how accurately users can be identified during two task-driven scenarios based on their spatial movement. We show that an identification accuracy of up to 90% is possible across sessions recorded on different days. Moreover, we investigate the role of users’ physiology in behavioral biometrics by virtually altering and normalizing their body proportions. We find that body normalization in general increases the identification rate, in some cases by up to 38%; hence, it improves the performance of identification systems.","usable security, virtual reality, task-driven biometrics, identification"
"Poretski L,Lanir J,Arazy O",Normative Tensions in Shared Augmented Reality,2018,,0,,https://doi.org/10.1145/3274411,"Novel collaborative technologies afford new modes of behavior, which are often not regulated by established social norms. In particular, shared augmented reality (AR) - where multiple users can create, attach, and interact with the same virtual elements embedded into the physical environment - has the potential to interrupt current social norms of behavior. The objective of our study is to shed light on the ways in which shared AR challenges existing behavioral expectations. Using a simulated lab experimental design, we performed a study of users' interactions in a shared AR setting. Content analysis of participants' interviews reveals users' concerns over the preservation of their self- and social identity, as well as concerns related to personal space and the sense of psychological ownership over one's body and belongings. Our findings also point to the need for regulation of shared AR spaces and design of the technology's control mechanisms.","augmented reality, shared ar, identity, norms, psychological ownership"
"Alqahtani H,Kavakli-Thorne M",Exploring Factors Affecting User's Cybersecurity Behaviour by Using Mobile Augmented Reality App (CybAR),2020,129–135,6,9781450376785,https://doi.org/10.1145/3384613.3384629,"In the field of cybersecurity, human behaviour is considered as the weakest link. Augmented Reality (AR) is one of top technologies that enhances users' experience by overlaying computational information into their reality. In spite of wide range of AR applications in different fields, there exists no AR application that helps to educate users and raise their awareness in cybersecurity aspects.In this paper, authors explore and apply gamification techniques to educate the users with the aim of raising overall cybersecurity awareness by developing a game based on AR techniques as an Android app called named CybAR. This work contributes in identification of the key elements that must be addressed in the AR game for helping the users to prevent cybersecurity attacks using Technology Threat Avoidance Theory (TTAT). TTAT enables the explanation of the engagement of individual users in threat avoidance behaviours and provides a framework at the user level. The paper also highlights the individual' differences that affect cybersecurity avoidance motivation and avoidance behaviour.","Gamification, Cyber security, Augmented Reality"
"Ahn S,Gorlatova M,Naghizadeh P,Chiang M",Personalized Augmented Reality via Fog-Based Imitation Learning,2019,11–15,4,9781450366984,https://doi.org/10.1145/3313150.3313219,"Augmented reality (AR) technologies are rapidly gaining momentum in society and are expected to play a critical role in the future of cities and transportation. In such dynamic settings with a heterogeneous population of AR users, it is important for holograms to be placed in the surrounding environment with regard to the users' preferences. However, the area of AR personalization remains largely unexplored. This paper proposes to use behavioral cloning, an algorithm for imitation learning, as a means of automatically generating policies that capture user preferences of hologram positioning. We argue in favor of employing the fog computing paradigm to minimize the volume of data sent to the cloud, and thereby preserve user privacy and increase both communication efficiency and learning efficiency. Through preliminary results obtained with a custom, Unity-based AR simulator, we demonstrate that user-specific policies can be learned quickly and accurately.","augmented reality, fog computing use cases, behavioral cloning, ML at the edge, privacy"
"Khan H,Hengartner U,Vogel D",Augmented Reality-Based Mimicry Attacks on Behaviour-Based Smartphone Authentication,2018,41–53,12,9781450357203,https://doi.org/10.1145/3210240.3210317,"We develop an augmented reality-based app that resides on the attacker's smartphone and leverages computer vision and raw input data to provide real-time mimicry attack guidance on the victim's phone. Our approach does not require tampering or installing software on the victim's device, or specialized hardware. The app is demonstrated by attacking keystroke dynamics, a method leveraging the unique typing behaviour of users to authenticate them on a smartphone, which was previously thought to be hard to mimic. In addition, we propose a low-tech AR-like audiovisual method based on spatial pointers on a transparent film and audio cues. We conduct experiments with 31 participants and mount over 400 attacks to show that our methods enable attackers to successfully bypass keystroke dynamics for 87% of the attacks after an average mimicry training of four minutes. Our AR-based method can be extended to attack other input behaviour-based biometrics. While the particular attack we describe is relatively narrow, it is a good example of using AR guidance to enable successful mimicry of user behaviour---an approach of increasing concern as AR functionality becomes more commonplace.","Authentication, Behavioural biometrics, Mimicry attacks, Augmented reality"
"Bermejo Fernandez C,Nurmi P,Hui P",Seeing is Believing? Effects of Visualization on Smart Device Privacy Perceptions,2021,4183–4192,9,9781450386517,https://doi.org/10.1145/3474085.3475552,"Research on smart device privacy has consistently highlighted how privacy is an important concern for users, but they fail to act on their concerns. While this discrepancy between user perceptions and actions has been consistently reported, currently there is a limited understanding of why this is the case or how the situation can be ameliorated. This paper systematically studies how visualizations in privacy assistants can improve the situation, reporting on two studies that explore the users' privacy perceptions in smart device ecosystems. The first study shows that displaying device location and data type reduces the users' privacy perceptions. Participants also weigh the use of media such as online news as a source to inform users about the possible inferences. The second study analyzes participants' preferences to visualize smart device information and privacy policies using augmented reality. Through these two studies, we derive insights and guidelines on how to design effective privacy assistants and to improve user's knowledge of risks associated with data disclosure in smart home scenarios.","smart devices, privacy, privacy assistants, augmented reality, graphical user interfaces"
"Eghtebas C,Kiss F,Koelle M,Woźniak P",Advantage and Misuse of Vision Augmentation – Exploring User Perceptions and Attitudes Using a Zoom Prototype,2021,77–85,8,9781450384285,https://doi.org/10.1145/3458709.3458984,"Consequences that deter adoption, such as asymmetrical encounters between wearers and bystanders, need to be explored in order to make Ubiquitous Augmented Reality (UAR) acceptable. In our work we outline how social perception is based on a Head Mounted Displays (HMD) capability, appearance, and the role of the wearer. We fixed the device capability to zooming in AR and explored the privacy implications in 12 interviews through a prototype with the mocked ability to ”super humanly” zoom in on targets. Next, we used the resulting themes to survey 100 participants to deeper explore augmented zoom while we permutate on the device appearance housed in three form-factors: contact lenses, glasses, and helmet and role of wearer based on level of involvement in an abstracted scenario transpiring in a public space. Our results showed that explicit visibility of an AR system provides social translucence as it is rated least likely to cause misuse but also perceived as least likely to have an advantage.","Augmented Reality, Mixed Method, Privacy Implications, Zoom Interaction"
"Ahn S,Gorlatova M,Naghizadeh P,Chiang M,Mittal P",Adaptive Fog-Based Output Security for Augmented Reality,2018,1–6,5,9781450359139,https://doi.org/10.1145/3229625.3229626,"Augmented reality (AR) technologies are rapidly being adopted across multiple sectors, but little work has been done to ensure the security of such systems against potentially harmful or distracting visual output produced by malicious or bug-ridden applications. Past research has proposed to incorporate manually specified policies into AR devices to constrain their visual output. However, these policies can be cumbersome to specify and implement, and may not generalize well to complex and unpredictable environmental conditions. We propose a method for generating adaptive policies to secure visual output in AR systems using deep reinforcement learning. This approach utilizes a local fog computing node, which runs training simulations to automatically learn an appropriate policy for filtering potentially malicious or distracting content produced by an application. Through empirical evaluations, we show that these policies are able to intelligently displace AR content to reduce obstruction of real-world objects, while maintaining a favorable user experience.","reinforcement learning, policy optimization, Augmented reality, visual output security, fog computing, edge computing"
"Bhalla A,Sluganovic I,Krawiecka K,Martinovic I",MoveAR: Continuous Biometric Authentication for Augmented Reality Headsets,2021,41–52,11,9781450384025,https://doi.org/10.1145/3457339.3457983,"Augmented Reality (AR) headsets are rapidly coming to consumer and professional markets. The lack of traditional input interfaces for these devices motivates the need to research novel methods of achieving security primitives such as user authentication. Given the various inertial sensors that the headsets use to position users in their environment, we propose, investigate, and evaluate the potential for a continuous biometric authentication system based on the distinct ways in which people move their heads and interact with their virtual environments. We collect samples of the spatial and behavioural patterns from a group of users wearing an AR headset. Using this data, we propose a multitude of novel models and machine learning pipelines that learn the unique signature of AR users as they interact with the virtual environment and AR objects. We evaluate multiple supervised machine learning algorithms, including k-Nearest Neighbours, Random Forest, Support Vector Machine (SVM), and Bag of Symbolic-Fourier-Approximation Symbols (BOSS) for two different sets of input data and parameters. We achieve a balanced accuracy score of 92.675% and an EER of 11% using an Adaptive Boost Random Forest classifier together with our proposed series of novel, AR-specific preprocessing methods used on our current dataset. This demonstrates that it is indeed possible to profile and authenticate AR head-mounted display users based on their head movements and gestures.","mixed-reality biometric authentication, AR authentication, gesture-based biometric authentication"
"Lehman SM,Alrumayh AS,Kolhe K,Ling H,Tan CC",Hidden in Plain Sight: Exploring Privacy Risks of Mobile Augmented Reality Applications,2022,,0,,https://doi.org/10.1145/3524020,"Mobile augmented reality systems are becoming increasingly common and powerful, with applications in such domains as healthcare, manufacturing, education, and more. This rise in popularity is thanks in part to the functionalities offered by commercially available vision libraries such as ARCore, Vuforia, and Google’s ML Kit; however, these libraries also give rise to the possibility of a hidden operations threat, that is, the ability of a malicious or incompetent application developer to conduct additional vision operations behind the scenes of an otherwise honest AR application without alerting the end-user. In this article, we present the privacy risks associated with the hidden operations threat and propose a framework for application development and runtime permissions targeted specifically at preventing the execution of hidden operations. We follow this with a set of experimental results, exploring the feasibility and utility of our system in differentiating between user-expectation-compliant and non-compliant AR applications during runtime testing, for which preliminary results demonstrate accuracy of up to 71%. We conclude with a discussion of open problems in the areas of software testing and privacy standards in mobile AR systems.","Augmented reality, user privacy, mobile system security"
"Mathis F,O'Hagan J,Vaniea K,Khamis M",Stay Home! Conducting Remote Usability Evaluations of Novel Real-World Authentication Systems Using Virtual Reality,2022,,0,9781450397193,https://doi.org/10.1145/3531073.3531087,"Evaluating interactive systems often requires researchers to invite user study participants to the lab. However, corresponding evaluations often lack realism and participants are usually recruited from a local area only. In this work, we propose Remote Virtual Reality for simulating Real-world Research (RVR3) to evaluate novel real-world authentication prototypes. A user study (N=25) demonstrates the feasibility of using VR for remote usability research on simulated real-world prototypes. Our remote VR user study provides a glimpse into the usability and social acceptability of two novel authentication systems: Hand Menu and Tap. We build on prior research in this space and discuss the impact RVR3 studies have on the range of possible studies. In summary, our remote VR research method to design, implement, and evaluate interactive real-world prototypes is a next step towards moving human-centred research out of the lab and potentially reaching a more diverse and larger participant sample over time.","Virtual Reality, Remote Research, Usability, Authentication"
"Mathis F,Williamson JH,Vaniea K,Khamis M",Fast and Secure Authentication in Virtual Reality Using Coordinated 3D Manipulation and Pointing,2021,,0,,https://doi.org/10.1145/3428121,"There is a growing need for usable and secure authentication in immersive virtual reality (VR). Established concepts (e.g., 2D authentication schemes) are vulnerable to observation attacks, and most alternatives are relatively slow. We present RubikAuth, an authentication scheme for VR where users authenticate quickly and secure by selecting digits from a virtual 3D cube that leverages coordinated 3D manipulation and pointing. We report on results from three studies comparing how pointing using eye gaze, head pose, and controller tapping impact RubikAuth’s usability, memorability, and observation resistance under three realistic threat models. We found that entering a four-symbol RubikAuth password is fast: 1.69–3.5 s using controller tapping, 2.35–4.68 s using head pose and 2.39 –4.92 s using eye gaze, and highly resilient to observations: 96–99.55% of observation attacks were unsuccessful. RubikAuth also has a large theoretical password space: 45n for an n-symbols password. Our work underlines the importance of considering novel but realistic threat models beyond standard one-time attacks to fully assess the observation-resistance of authentication schemes. We conclude with an in-depth discussion of authentication systems for VR and outline five learned lessons for designing and evaluating authentication schemes.","Authentication, head-mounted displays, threat modeling, virtual reality, observation, usable security"
