Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Index Keywords,Funding Details,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Afolabi A.O., Nnaji C., Okoro C.","57193827015;57189997900;57196279662;","Immersive Technology Implementation in the Construction Industry: Modeling Paths of Risk",2022,"Buildings","12","3","363","","",,2,"10.3390/buildings12030363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127521861&doi=10.3390%2fbuildings12030363&partnerID=40&md5=3bfadfb8f5e41eed7b22c4a87e7277c1","The purposes of this paper are to identify risk factors impacting the successful implementation of immersive reality technology (ImT) in the construction industry, analyze these risk factors (impact and probability), assess the relationships among different categories of risk factors, and provide recommendations to improve ImT implementation. A literature review, a pilot test based on expert interviews, and a questionnaire survey were used. First, the risk factors of ImT applications were identified by consulting the relevant literature on virtual reality, mixed reality, and augmented reality; these were subsequently grouped into five categories—technology, operation, individual/worker, investment, and external. Next, a questionnaire survey was designed and distributed to relevant construction practitioners in South Africa (usable response = 175). Twenty-one ImT implementation risk factors were identified, and risk criticality scores ranged from 2.02 to 3.18. High investment cost, the need for extensive worker training, and the possible introduction of new risks for workers were rated as significant risks. The present study confirmed three statistically significant hypothesized risk paths—namely, those between external issues and individual/worker’s concerns, between external issues and investment limitations, and between individual/worker’s concerns and technology concerns. The present study contributes to the literature regarding the adoption of construction technology by providing a list of critical risk factors that could be used to develop models and tools for assessing ImT adoption and guide practitioners involved in integrating ImTs. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",,,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85127521861
"Debauche O., Mahmoudi S., Guttadauria A.","57195530506;16177658000;57257260200;","Article A New Edge Computing Architecture for IoT and Multimedia Data Management",2022,"Information (Switzerland)","13","2","89","","",,8,"10.3390/info13020089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124799603&doi=10.3390%2finfo13020089&partnerID=40&md5=ffe63fda886d4063f5dbf564a6750790","The Internet of Things and multimedia devices generate a tremendous amount of data. The transfer of this data to the cloud is a challenging problem because of the congestion at the network level, and therefore processing time could be too long when we use a pure cloud computing strategy. On the other hand, new applications requiring the processing of large amounts of data in real time have gradually emerged, such as virtual reality and augmented reality. These new applications have gradually won over users and developed a demand for near real-time interaction of their applications, which has completely called into question the way we process and store data. To address these two problems of congestion and computing time, edge architecture has emerged with the goal of processing data as close as possible to users, and to ensure privacy protection and responsiveness in real-time. With the continuous increase in computing power, amounts of memory and data storage at the level of smartphone and connected objects, it is now possible to process data as close as possible to sensors or directly on users devices. The coupling of these two types of processing as close as possible to the data and to the user opens up new perspectives in terms of services. In this paper, we present a new distributed edge architecture aiming to process and store Internet of Things and multimedia data close to the data producer, offering fast response time (closer to real time) in order to meet the demands of modern applications. To do this, the processing at the level of the producers of data collaborate with the processing ready for the users, establishing a new paradigm of short supply circuit for data transmission inspired of short supply chains in agriculture. The removing of unnecessary intermediaries between the producer and the consumer of the data improves efficiency. We named this new paradigm the Short Supply Circuit Internet of Things (SSCIoT). © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Augmented reality; Computer architecture; Data handling; Digital storage; Information management; Internet of things; Network architecture; Supply chains; Virtual reality; A2IoT; Computing architecture; EDGE architectures; Edge computing; Image-analysis; Multimedia managements; New applications; Real- time; Short supply; Supply circuits; Edge computing",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124799603
"Devi O.R., Webber J., Mehbodniya A., Chaitanya M., Jawarkar P.S., Soni M., Miah S.","57202735464;7101660668;55954097400;57945867500;57203061664;57202986134;57224881107;","The Future Development Direction of Cloud-Associated Edge-Computing Security in the Era of 5G as Edge Intelligence",2022,"Scientific Programming","2022",,"1473901","","",,,"10.1155/2022/1473901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140844298&doi=10.1155%2f2022%2f1473901&partnerID=40&md5=a19e88e79dcf63a9ba45f5793a0c9520","By introducing the Internet-of-Everything, new usage situations such as self-directed movement and vivid competitions constructed upon Virtual Reality or Augmented Reality expertise, besides the Industrial-Internet-of-Thing, accelerates the initial growth of edge-registering improvements. The global versatile correspondence business is now developing toward 5G. Edge processing has gotten a lot of attention around the globe as 5G is one of the major access enhancements to advance the huge scope organization of edge registration. Edge processing security has been a significant area of concern since the advent of edge registers, limiting its execution and enhancement. Edge figuring security has been greatly hampered by the innovative structures of edge-registering, the reconciliation with a huge number of innovations, the innovative usage conditions carried on through edge-processing, and common growing requirements aimed at safety insurance. This report examines the ebb and flow of examination anxiously registering security research. This article highlights the security issues of edge processing from five perspectives, including network access, key administration, protection assurance, assault mitigation, and irregularity identification, by breaking down the safety tests among edge-registering cutting-edge terms of innovative representations, and novel applications situations, as well as innovation conditions. The study separately discusses the scholastic community's exploratory accomplishments among the applied domains, as well as the compensations for the drawbacks. In conclusion, the upcoming expansion track toward edge-computing safety has been conferred as well as projected, combining edge-cloud coordinated effort and edge intelligence. © 2022 Odugu Rama Devi et al.","5G mobile communication systems; Augmented reality; Edge computing; Virtual reality; Areas of concerns; Computing security; Condition; Development directions; Ebb-and-flow; Edge computing; Edge intelligence; Edge registration; Innovative structures; Self-directed; Internet of Everything",,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85140844298
"Mihai S., Yaqoob M., Hung D.V., Davis W., Towakel P., Raza M., Karamanoglu M., Barn B., Shetve D., Prasad R.V., Venkataraman H., Trestian R., Nguyen H.X.","57219208603;57220465729;57216845306;57216844481;57206662672;57197446345;22957756400;6506944724;57226308410;57203098734;16176653600;35868237900;57199967463;","Digital Twins: A Survey on Enabling Technologies, Challenges, Trends and Future Prospects",2022,"IEEE Communications Surveys and Tutorials","24","4",,"2255","2291",,10,"10.1109/COMST.2022.3208773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139416099&doi=10.1109%2fCOMST.2022.3208773&partnerID=40&md5=3385e46ba470f59915fb9ed37169c7b1","Digital Twin (DT) is an emerging technology surrounded by many promises, and potentials to reshape the future of industries and society overall. A DT is a system-of-systems which goes far beyond the traditional computer-based simulations and analysis. It is a replication of all the elements, processes, dynamics, and firmware of a physical system into a digital counterpart. The two systems (physical and digital) exist side by side, sharing all the inputs and operations using real-time data communications and information transfer. With the incorporation of Internet of Things (IoT), Artificial Intelligence (AI), 3D models, next generation mobile communications (5G/6G), Augmented Reality (AR), Virtual Reality (VR), distributed computing, Transfer Learning (TL), and electronic sensors, the digital/virtual counterpart of the real-world system is able to provide seamless monitoring, analysis, evaluation and predictions. The DT offers a platform for the testing and analysing of complex systems, which would be impossible in traditional simulations and modular evaluations. However, the development of this technology faces many challenges including the complexities in effective communication and data accumulation, data unavailability to train Machine Learning (ML) models, lack of processing power to support high fidelity twins, the high need for interdisciplinary collaboration, and the absence of standardized development methodologies and validation measures. Being in the early stages of development, DTs lack sufficient documentation. In this context, this survey paper aims to cover the important aspects in realization of the technology. The key enabling technologies, challenges and prospects of DTs are highlighted. The paper provides a deep insight into the technology, lists design goals and objectives, highlights design challenges and limitations across industries, discusses research and commercial developments, provides its applications and use cases, offers case studies in industry, infrastructure and healthcare, lists main service providers and stakeholders, and covers developments to date, as well as viable research dimensions for future developments in DTs. © 1998-2012 IEEE.","Artificial intelligence; Augmented reality; Distributed computer systems; Firmware; Industrial research; Industry 4.0; Internet of things; Network security; Real time systems; Surveys; Systems engineering; Virtual reality; 5g; Digital transformation; Emerging technologies; Enabling technologies; Future prospects; Market researches; Smart manufacturing; Solid modelling; Technology challenges; Tutorial; Data visualization","2022-2024, 429715093; DST UKIERI-2018-19-011; DA00192, VINIF.2021","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85139416099
"Peng Y., Xue X., Bashir A.K., Zhu X., Al-Otaibi Y.D., Tariq U., Yu K.","36667155900;57455322300;57193954653;57204546994;57213689300;14827558600;56316023300;","Securing Radio Resources Allocation With Deep Reinforcement Learning for IoE Services in Next-Generation Wireless Networks",2022,"IEEE Transactions on Network Science and Engineering","9","5",,"2991","3003",,,"10.1109/TNSE.2022.3149750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124735113&doi=10.1109%2fTNSE.2022.3149750&partnerID=40&md5=9f742fcc5b9223dae47328d5fe4346c4","The next generation wireless network (NGWN) is undergoing an unprecedented revolution, in which trillions of machines, people, and objects are interconnected to realize the Internet of Everything (IoE). with the emergence of IoE services such as virtual reality, augmented reality, and industrial 5 G, the scarcity of radio resources becomes more serious. Moreover, there are hidden dangers of untrusted terminals accessing the system and illegally manipulating interconnected devices. To tackle these challenges, this paper proposes a securing radio resources allocation scheme with Deep Reinforcement Learning for IoE services in NGWN. First, the solution uses a BP neural network based on multi-feature optimized Firefly Algorithm (FA) for spectrum prediction, thereby improving the prediction accuracy and avoiding interference between unauthorized and authorized users with efficient radio utilization. Then, a spectrum sensing method based on deep reinforcement learning is proposed to identify the untrusted users in system while fusing the sensing results, to enhance the security of the cooperative process and the detection accuracy of spectrum holes. Extensive simulation results show that the proposal is superior to the traditional solutions in terms of prediction accuracy, spectrum utilization and energy consumption, and is suitable for deployment in future wireless systems. © 2013 IEEE.","5G mobile communication systems; Augmented reality; Deep neural networks; Energy utilization; Forecasting; Heuristic algorithms; Internet of Everything; Learning algorithms; Next generation networks; Optimization; Radio; Radio access networks; Resource allocation; Spectrum efficiency; Virtual reality; Wireless networks; Deep reinforcement learning; Energy-consumption; Firefly algorithms; Next generation networking; Next-generation wireless network; Prediction algorithms; Radio resource allocation; Reinforcement learnings; Resource management; Wireless communications; Reinforcement learning",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85124735113
"Kim J., Knox D., Park H.","52863809900;57245299300;55516766800;","Forehead tactile hallucination is augmented by the perceived risk and accompanies increase of forehead tactile sensitivity",2021,"Sensors","21","24","8246","","",,,"10.3390/s21248246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120818389&doi=10.3390%2fs21248246&partnerID=40&md5=77a3aa7620a94e793f0d7296a5eff30e","Tactile hallucinations frequently occur after mental illnesses and neurodegenerative dis-eases like Alzheimer’s and Parkinson’s disease. Despite their common occurrence, there are several complicating factors that make it difficult to elucidate the tactile hallucinations. The forehead tactile hallucination, evoked by the physical object approaching to the forehead, can be easily and consistently evoked in healthy-bodied subjects, and therefore it would help with investigating the mechanism of tactile hallucinations. In this pilot study, we investigated the principles of the forehead tactile hallucination with eight healthy subjects. We designed the experimental setup to test the effect of sharpness and speed of objects approaching towards the forehead on the forehead tactile hallucination, in both a physical and virtual experimental setting. The forehead tactile hallucination was successfully evoked by virtual object as well as physical object, approaching the forehead. The forehead tactile hallucination was increased by the increase of sharpness and speed of the approaching object. The forehead tactile hallucination also increased the tactile sensitivity on the forehead. The forehead tactile hallucination can be solely evoked by visual feedback and augmented by the increased perceived risk. The forehead tactile hallucination also increases tactile sensitivity. These experimental results may enhance the understanding of the foundational mechanisms of tactile hallucinations. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Neurodegenerative diseases; Virtual reality; Alzheimer; Forehead sensation; Mental illness; Neurodegenerative; Perceived risk; Physical objects; Pilot studies; Tactile hallucination; Tactile sensitivities; Visual communication; forehead; hallucination; human; mental disease; Parkinson disease; pilot study; Forehead; Hallucinations; Humans; Mental Disorders; Parkinson Disease; Pilot Projects",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85120818389
"Hassantabar S., Stefano N., Ghanakota V., Ferrari A., Nicola G.N., Bruno R., Marino I.R., Hamidouche K., Jha N.K.","57218368245;57219761518;57219759855;57471500900;55519882600;7101907548;7006140736;56297968300;7102310305;","CovidDeep: SARS-CoV-2/COVID-19 Test Based on Wearable Medical Sensors and Efficient Neural Networks",2021,"IEEE Transactions on Consumer Electronics","67","4",,"244","256",,12,"10.1109/TCE.2021.3130228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120036670&doi=10.1109%2fTCE.2021.3130228&partnerID=40&md5=36e5d0e3c3989a1105c21fdda434cf89","The novel coronavirus (SARS-CoV-2) has led to a pandemic. The current testing regime based on Reverse Transcription-Polymerase Chain Reaction for SARS-CoV-2 has been unable to keep up with testing demands, and also suffers from a relatively low positive detection rate in the early stages of the resultant COVID-19 disease. Hence, there is a need for an alternative approach for repeated large-scale testing of SARS-CoV-2/COVID-19. The emergence of wearable medical sensors (WMSs) and deep neural networks (DNNs) points to a promising approach to address this challenge. WMSs enable continuous and user-transparent monitoring of physiological signals. However, disease detection based on WMSs/DNNs and their deployment on resource-constrained edge devices remain challenging problems. To address these problems, we propose a framework called CovidDeep that combines efficient DNNs with commercially available WMSs for pervasive testing of the virus and the resultant disease. CovidDeep does not depend on manual feature extraction. It directly operates on WMS data and some easy-to-answer questions in a questionnaire whose answers can be obtained through a smartphone application. We collected data from 87 individuals, spanning three cohorts including healthy, asymptomatic (to detect the virus), and symptomatic (to detect the disease) patients. We trained DNNs on various subsets of the features automatically extracted from six WMS and questionnaire categories to perform ablation studies to determine which subsets are most efficacious in terms of test accuracy for a three-way classification. The highest test accuracy obtained was 98.1%. The models were also shown to perform well on other performance measures, such as false positive rate, false negative rate, and F1 score. We augmented the real training dataset with a synthetic training dataset drawn from the same probability distribution to impose a prior on DNN weights and leveraged a grow-and-prune synthesis paradigm to learn both DNN architecture and weights. This boosted the accuracy of the various DNNs further and simultaneously reduced their size and floating-point operations. This makes the CovidDeep DNNs both accurate and efficient, in terms of memory requirements and computations. The resultant DNNs are embedded in a smartphone application, which has the added benefit of preserving patient privacy. © 1975-2011 IEEE.","Computer architecture; Deep neural networks; Diagnosis; Digital arithmetic; Hybrid systems; mHealth; Network architecture; Online systems; Personnel training; Polymerase chain reaction; Probability distributions; Surveys; Virtual reality; Wearable sensors; Biomedical monitoring; Brain modeling; Coronaviruses; COVID-19; COVID-19 test; Deep neural network; Grow-and-prune synthesis; Internet of medical thing; Medical services; Online computing; SARS-CoV-2; Smart healthcare; Synthetic data generations; Wearable online computing; Wearable system.; Wearable systems; SARS","CNS-1907381","English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85120036670
"Loureiro S.M.C., Nascimento J.","27467492100;57340196900;","Shaping a view on the influence of technologies on sustainable tourism",2021,"Sustainability (Switzerland)","13","22","2691","","",,11,"10.3390/su132212691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119200002&doi=10.3390%2fsu132212691&partnerID=40&md5=e4ac5d80ecdd1d424f45eb5b86784973","To date, tourism is the fastest growing industry globally, but one of the least developed in terms of environmentally sustainable practices. However, only a small portion of documents elaborate on how the introduction of new technologies can impact a more sustainable development route for tourism. This study’s objective is to provide an overview on literature state‐of‐the‐art related to sustainable tourism and technological innovations, offering insights for further advancing this domain. We employ a bibliometric analysis and a comprehensive review of 139 articles, collected from Web of Science and Scopus databases, for the purpose of: (i) exploring and discussing the most relevant contributions in the publication network: (ii) highlighting key issues and emerging topics; (iii) uncovering open questions for the future. Our findings reveal contradictory views on the risks and benefits of technology adoption. Artificial intelligence, internet of things, circular economy, big data, augmented and virtual reality emerge as major trends. Five work streams are identified and described, leading to a broader perspective on how technology can shape the future of sustainable tourism. Relevant theoretical and managerial implications are derived. Finally, a research agenda is proposed as guidance for future studies addressing the outcomes of digital disruption on sustainable tourism. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","ecotourism; innovation; sustainable development; technology adoption; virtual reality; Scopus",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119200002
"Georgieva D., Koleva G., Hristova I.","57199852321;57199862387;57205662717;","Virtual Technologies in the Medical Professions - Creation of 360 - Degree Environments for Health Care Training",2021,"TEM Journal","10","3",,"1314","1318",,2,"10.18421/TEM103-39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116488248&doi=10.18421%2fTEM103-39&partnerID=40&md5=86a34dc7e75b76cb0e359c80272d96b9","This article presents a study of the advantages of virtual technologies in health education, as well as an attempt to answer the following questions. How XR could improve the educational process by boosting the current ratio of students to lecturers while maintaining the same level of efficacy. How XR technologies could provide access to critical knowledge around the clock without interfering with the workflow of healthcare facilities and without exposing patients to any undue risk. The practical application of a 360° virtual world for a clinical laboratory, central laboratory for sterilization and a virtual operating room all in partnership between the Healthcare Department of Angel Kanchev University of Ruse, The Yatrus Foundation IT Specialists and University Multidisciplinary Hospital for Active Treatment Kanev, Ruse. The virtual reality allows the trainees to explore, to make mistakes and learn from them before ultimately applying the real procedure on a patient. © 2021. Despina Georgieva, Greta Koleva & Irinka Hristova; published by UIKTEN. This work is licensed under the Creative Commons Attribution-NonCommercial-NoDerivs 4.0 License.",,,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85116488248
"Higgins D., Fribourg R., McDonnell R.","57223645403;57203970110;24537203400;","Remotely Perceived: Investigating the Influence of Valence on Self-Perception and Social Experience for Dyadic Video-Conferencing With Personalized Avatars",2021,"Frontiers in Virtual Reality","2",,"668499","","",,4,"10.3389/frvir.2021.668499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129441594&doi=10.3389%2ffrvir.2021.668499&partnerID=40&md5=6fba0587d7412bddeb73f86d5788853a","Avatar use on video-conference platforms has found dual purpose in recent times as a potential method for ensuring privacy and improving subjective engagement with remote meeting, provided one can also ensure a minimal loss in the quality of social interaction and sense of personal presence. This work focuses on interactions of this sort through real-time motion captured 3D personalized virtual avatars in a 2D video-conferencing context. Our experiments were designed with the intention of exploring previously defined perceptual illusions that occur with avatar-use in Virtual and Augmented Reality settings, outside of the immersive technological domains where they are normally measured. The research described here was aimed at empirically evaluating three separate dimensions of human-avatar interaction. The first was humans-as-avatars, with experimental conditions that were designed to measure changes to subjective perceptions of self-face ownership and self-concept. The second focus was other-perception, with the unique design of the studies outlined below among the first to measure social presence in a video-call between two human-driven avatars. The third emphasis was on the experiential content involved in avatar use, as there were measurements for emotion induction, fatigue and behavior change included in the data collection. The results describe some evidence for face and body ownership, while participants also reported high levels of social presence with the other avatar, indicating that avatar cameras could be a favorable alternative to non-camera feeds in video conferencing. There were also some useful insights gained regarding emotion elicitation in non-video vs. avatar conditions, as well as avatar-induced behavior change. Copyright © 2021 Higgins, Fribourg and McDonnell.",,"18/CRT/6224; 19/FFP/6409","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85129441594
"Longo U.G., De Salvatore S., Candela V., Zollo G., Calabrese G., Fioravanti S., Giannone L., Marchetti A., De Marinis M.G., Denaro V.","55308310300;56191104200;57192230877;57222957229;57222960233;57225723440;57222013055;56651842000;22834503100;7004909863;","Augmented reality, virtual reality and artificial intelligence in orthopedic surgery: A systematic review",2021,"Applied Sciences (Switzerland)","11","7","3253","","",,10,"10.3390/app11073253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104266439&doi=10.3390%2fapp11073253&partnerID=40&md5=f1cabddcf295f09f533134e918623293","Background: The application of virtual and augmented reality technologies to orthopaedic surgery training and practice aims to increase the safety and accuracy of procedures and reducing complications and costs. The purpose of this systematic review is to summarise the present literature on this topic while providing a detailed analysis of current flaws and benefits. Methods: A comprehensive search on the PubMed, Cochrane, CINAHL, and Embase database was conducted from inception to February 2021. The Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) guidelines were used to improve the reporting of the review. The Cochrane Risk of Bias Tool and the Methodological Index for Non-Randomized Studies (MINORS) was used to assess the quality and potential bias of the included randomized and non-randomized control trials, respectively. Results: Virtual reality has been proven revolutionary for both resident training and preoperative planning. Thanks to augmented reality, orthopaedic surgeons could carry out procedures faster and more accurately, improving overall safety. Artificial intelligence (AI) is a promising technology with limitless potential, but, nowadays, its use in orthopaedic surgery is limited to preoperative diagnosis. Conclusions: Extended reality technologies have the potential to reform orthopaedic training and practice, providing an opportunity for unidirectional growth towards a patient-centred approach. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85104266439
"González C., Solanes J.E., Muñoz A., Gracia L., Girbés-Juan V., Tornero J.","57224678108;50362016600;57197194186;57198068796;57217682767;56162306600;","Advanced teleoperation and control system for industrial robots based on augmented virtuality and haptic feedback",2021,"Journal of Manufacturing Systems","59",,,"283","298",,26,"10.1016/j.jmsy.2021.02.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102363990&doi=10.1016%2fj.jmsy.2021.02.013&partnerID=40&md5=0ec376859c4a346c56cc656ebcc60cf9","There are some industrial tasks that are still mainly performed manually by human workers due to their complexity, which is the case of surface treatment operations (such as sanding, deburring, finishing, grinding, polishing, etc.) used to repair defects. This work develops an advanced teleoperation and control system for industrial robots in order to assist the human operator to perform the mentioned tasks. On the one hand, the controlled robotic system provides strength and accuracy, holding the tool, keeping the right tool orientation and guaranteeing a smooth approach to the workpiece. On the other hand, the advanced teleoperation provides security and comfort to the user when performing the task. In particular, the proposed teleoperation uses augmented virtuality (i.e., a virtual world that includes non-modeled real-world data) and haptic feedback to provide the user an immersive virtual experience when remotely teleoperating the tool of the robot system to treat arbitrary regions of the workpiece surface. The method is illustrated with a car body surface treatment operation, although it can be easily extended to other surface treatment applications or even to other industrial tasks where the human operator may benefit from robotic assistance. The effectiveness of the proposed approach is shown with several experiments using a 6R robotic arm. Moreover, a comparison of the performance obtained manually by an expert and that obtained with the proposed method has also been conducted in order to show the suitability of the proposed approach. © 2021 The Society of Manufacturing Engineers","Deburring; End effectors; Feedback; Man machine systems; Personnel; Remote control; Robotics; Social robots; Surface treatment; User experience; Virtual reality; Augmented virtualities; Haptic feedbacks; Human operator; Industrial tasks; Robot system; Robotic systems; Tool orientation; Virtual worlds; Industrial robots","GV/2021/005, PID2020-117421RB-C21","English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85102363990
"Bajic B., Rikalovic A., Suzic N., Piuri V.","57220915976;55440580900;55554334700;35426171300;","Industry 4.0 Implementation Challenges and Opportunities: A Managerial Perspective",2021,"IEEE Systems Journal","15","1","9207825","546","559",,55,"10.1109/JSYST.2020.3023041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102753016&doi=10.1109%2fJSYST.2020.3023041&partnerID=40&md5=debc3590c829d5686569ec9e71630247","Industry 4.0 is a concept aimed at achieving the integration of physical parts of the manufacturing process (i.e., complex machinery, various devices, and sensors) and cyber parts (i.e., advanced software) via networks and driven by Industry 4.0 technology categories used for prediction, control, maintenance, and integration of manufacturing processes. Industry 4.0, which is expected to have a great impact on manufacturing systems in the future, is attracting attention in both industry and academia. Although academic research on Industry 4.0 is growing exponentially, evidence of Industry 4.0 implementation in practice is still scarce. Moreover, the challenges industry faces when implementing the Industry 4.0 concept seem to be even less addressed. At the start of the present survey, a preliminary literature review identified a lack of comprehensive analysis of the Industry 4.0 implementation challenges. Thus, the purpose of the present article is to provide an overview of the reported Industry 4.0 implementation challenges in the relevant literature by conducting a systematic literature review. Specifically, while the present study differentiates between managerial and technological Industry 4.0 implementation challenges, the focus of the present article is on the managerial Industry 4.0 implementation challenges. This overview is performed by deriving an inductively coded Industry 4.0 technology framework that classifies Industry 4.0 technologies into ten categories: cyber physical systems, Internet of Things, big data analytics, cloud computing, fog and edge computing, augmented and virtual reality, robotics, cyber security, semantic web technologies, and additive manufacturing. The present article identifies, codes, and defines the managerial Industry 4.0 implementation challenges and derives opportunities for overcoming them. © 2007-2012 IEEE.","3D printers; Advanced Analytics; Data Analytics; Embedded systems; Industry 4.0; Machinery; Managers; Security of data; Advanced softwares; Augmented and virtual realities; Complex machinery; Comprehensive analysis; Literature reviews; Manufacturing process; Semantic Web technology; Systematic literature review; Industrial robots","825333; ","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85102753016
"Bhattacharya P., Saraswat D., Dave A., Acharya M., Tanwar S., Sharma G., Davidson I.E.","57200306370;57224616778;57393056700;57392754300;56576145100;57216326306;7103403083;","Coalition of 6G and Blockchain in AR/VR Space: Challenges and Future Directions",2021,"IEEE Access","9",,,"168455","168484",,11,"10.1109/ACCESS.2021.3136860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122105296&doi=10.1109%2fACCESS.2021.3136860&partnerID=40&md5=05fe2c3cf64bde17fcf9d0129839edbb","The digital content wave has proliferated the financial and industrial sectors. Moreover, with the rise of massive internet-of-things, and automation, technologies like augmented reality (AR) and virtual reality (VR) have emerged as prominent players to drive a range of applications. Currently, sixth-generation (6G) networks support enhanced holographic projection through terahertz (THz) bandwidths, ultra-low latency, and massive device connectivity. However, the data is exchanged between autonomous networks over untrusted channels. Thus, to ensure data security, privacy, and trust among stakeholders, blockchain (BC) opens new dimensions towards intelligent resource management, user access control, audibility, and chronology in stored transactions. Thus, the BC and 6G coalition in future AR/VR applications is an emerging investigative topic. To date, authors have proposed surveys that study the integration of BC and 6G in AR/VR in isolation, and hence a coherent survey is required. Thus, to address the gap, the survey is the first-of-its-kind to investigate and study the coalition of BC and 6G in AR/VR space. Based on the proposed research questions in the survey, a solution taxonomy is presented, and different verticals are studied in detail. Furthermore, an integrative architecture is proposed, and open issues and challenges are presented. Finally, a case study, BvTours, is presented that presents a unique survey on BC-based 6G-assisted AR/VR virtual home tour service. The survey intends to propose future resilient frameworks and architectures for different industry 4.0 verticals and would serve as starting directions for academia, industry stakeholders, and research organizations to study the coalition of BC and 6G in AR/VR in industrial applications, gaming, digital content manufacturing, and digital assets protection in greater detail. © 2013 IEEE.","5G mobile communication systems; Access control; Augmented reality; Digital storage; Industrial research; Industry 4.0; Information management; Interactive computer systems; Network architecture; Quality of service; Real time systems; Surveys; Virtual reality; 6g; 6g mobile communication; Block-chain; Digital contents; Financial sectors; Medical services; Mobile communications; Real - Time system; Virtual reality application; Smart contract",,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122105296
"Rinaldi C., Franchi F., Marotta A., Graziosi F., Centofanti C.","56649934400;57193013263;57191035019;7004365263;57210853439;","On the Exploitation of 5G Multi-Access Edge Computing for Spatial Audio in Cultural Heritage Applications",2021,"IEEE Access","9",,,"155197","155206",,4,"10.1109/ACCESS.2021.3128786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120524056&doi=10.1109%2fACCESS.2021.3128786&partnerID=40&md5=c2b2d6a7040009c5f2d49471a55bf659","This work presents a service for the improvement of cultural heritage experiences, which exploits the advantages coming from the 5G paradigm. Indeed, in a scenario where many users need to be served by a real-time solution which is in turn required to work on different devices, the potentialities of 5G technology show their suitability. In particular, moving the computation to the edge of the network ensures the availability of resources needed for binaural spatial audio rendering in an independent fashion with reference to the client device and at the same time it guarantees real-time availability of this data since the core network, with its impairments, is not involved. This work demonstrates how 5G could be a critical enabler for delivering low latency services at guaranteed levels, data-centric services, differentiated customer experiences, improved security and reduced costs to the users. © 2013 IEEE.","5G mobile communication systems; Augmented reality; Edge computing; Binaural rendering; Cloud-computing; Cultural heritage application; Cultural heritages; Edge computing; Multi-access edge computing; Multiaccess; Real time solution; Spatial audio; User need; Virtual reality","872866","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85120524056
