"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Effects of Gamified Augmented Reality in Public Spaces","M. Noreikis; N. Savela; M. Kaakinen; Y. Xiao; A. Oksanen","Department of Communications and Networking, Aalto University, Espoo, Finland; Faculty of Social Sciences, Tampere University, Tampere, Finland; Institute of Criminology and Legal Policy, University of Helsinki, Helsinki, Finland; Department of Communications and Networking, Aalto University, Espoo, Finland; Faculty of Social Sciences, Tampere University, Tampere, Finland","IEEE Access","21 Oct 2019","2019","7","","148108","148118","Advancements in smartphone technology have resulted in the proliferation of Augmented Reality (AR) applications and games. Researchers have acknowledged the great potential of AR applications to enhance entertainment and improve learning experiences. In this study, we examined the potential effects of gamified AR in public places. We developed ARQuiz, an AR-based quiz game, for a public exhibition space and conducted a user study with respondents via survey (N = 176; 55.68% female, mean age 35.94 and SD = 11.89) and face-to-face interview (N = 28; 57.14% female, mean age 31.07 and SD = 7.42). We analyzed the relationship between perceived application usefulness, perceived application enjoyment, perceived exhibition enjoyment, and perceived quiz enjoyment. In addition, we examined perceived sociability before and after the quiz, quiz score, and user behavior in the exhibition space. The results indicate that visitors who enjoyed playing the ARQuiz game enjoyed the exhibition more, obtained better quiz results and felt more social after visiting the exhibition. Furthermore, the ARQuiz was regarded as a possible platform for improving visitors' learning and overall experiences in public exhibitions. Although some players expressed concerns about the privacy and intrusiveness of AR, our results indicate that a well-designed AR game may boost the overall satisfaction of an exhibition visit and increase players' sociabilitys.","2169-3536","","10.1109/ACCESS.2019.2945819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8861040","Augmented reality;museum experience;user behavior","Games;Cultural differences;Augmented reality;Entertainment industry;Tools;Videos;Interviews","augmented reality;computer aided instruction;exhibitions;human factors;mobile learning;museums;public administration;serious games (computing);smart phones;user experience","learning experiences;perceived application usefulness;perceived application enjoyment;perceived exhibition enjoyment;perceived quiz enjoyment;user behavior;ARQuiz game;public exhibitions;AR game;gamified augmented reality;public spaces;smartphone technology;AR applications;museum experience","","13","","32","CCBY","7 Oct 2019","","","IEEE","IEEE Journals"
"Real-Time Laparoscopic Cholecystectomy Simulation Using a Particle-Based Physical System","H. Wu; F. Ye; Y. Gao; Y. Cong; A. Hao","Research Unit of Virtual Human and Virtual Surgery(2019RU004), Chinese Academy of Medical Sciences, Beijing, China; Research Unit of Virtual Human and Virtual Surgery(2019RU004), Chinese Academy of Medical Sciences, Beijing, China; Research Unit of Virtual Human and Virtual Surgery(2019RU004), Chinese Academy of Medical Sciences, Beijing, China; Beijing UniDraw Virtual Reality Technology Research Institute Co., Ltd, Beijing, China; Research Unit of Virtual Human and Virtual Surgery(2019RU004), Chinese Academy of Medical Sciences, Beijing, China","Complex System Modeling and Simulation","26 Jul 2022","2022","2","2","186","196","Laparoscopic cholecystectomy is used to treat cholecystitis and cholelithiasis. Because the high risk of the surgery prevents novice doctors from practicing it on real patients, VR-based surgical simulation has been developed to simulate surgical procedures to train surgeons without patients, cadavers, or animals. In this study, we propose a real-time system designed to provide plausible visual and tactile simulation of the main surgical procedures. To achieve this, the physical properties of organs are modeled by particles, and cluster-based shape matching is used to simulate soft deformation. The haptic interaction between tools and soft tissue is modeled as a collision between a capsule and particles. Constraint-based haptic rendering is used to generate feedback force and the non-penetrating position of the virtual tool. The proposed system can simulate the major steps of laparoscopic cholecystectomy, such as the anatomy of Calot's triangle, clipping of the cystic duct and biliary artery, disjunction of the cystic duct and biliary artery, and separation of the gallbladder bed. The experimental results show that haptic rendering can be performed at a high frequency (> 900 Hz), whereas mesh skinning and graphics rendering can be performed at 60 frames per second (fps).","2096-9929","","10.23919/CSMS.2022.0009","National Natural Science Foundation of China(grant numbers:61902014); Beijing Natural Science Foundation(grant numbers:4214066); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9841530","virtual surgery;laparoscopic cholecystectomy;position-based dynamics","Laparoscopes;Visualization;Shape;Ducts;Surgery;Rendering (computer graphics);Real-time systems","biological organs;biological tissues;computer based training;haptic interfaces;medical computing;rendering (computer graphics);surgery;virtual reality","time laparoscopic cholecystectomy simulation;particle-based physical system;cholecystitis;cholelithiasis;novice doctors;VR-based surgical simulation;plausible visual simulation;tactile simulation;cluster-based shape matching;soft deformation;haptic interaction;soft tissue;constraint-based haptic rendering;nonpenetrating position;virtual tool;cystic duct;biliary artery;Calot triangle","","","","28","","26 Jul 2022","","","TUP","TUP Journals"
"Characterization of Quality Attributes to Evaluate the User Experience in Augmented Reality","L. E. Gutiérrez; M. M. Betts; P. Wightman; A. Salazar; D. Jabba; W. Nieto","Department of System Engineering, Faculty of Engineering, Universidad del Norte, Barranquilla, Colombia; Department of Design, School of Architecture, Urbanism and Design, Universidad del Norte, Barranquilla, Colombia; Escuela de Ingeniería, Ciencia y Tecnología, Universidad del Rosario, Bogotá, Colombia; Department of System Engineering, Faculty of Engineering, Universidad del Norte, Barranquilla, Colombia; Department of System Engineering, Faculty of Engineering, Universidad del Norte, Barranquilla, Colombia; Department of System Engineering, Faculty of Engineering, Universidad del Norte, Barranquilla, Colombia","IEEE Access","1 Nov 2022","2022","10","","112639","112656","This study proposes a characterization of quality attributes for applications that use augmented reality. This classification is done from the perspective of the user experience. The attribute identification was based on primary studies of the IEEE Xplore, Scopus, and ACM repositories. From an initial set of 1165 papers, 101 documents were selected. The document proposes two categories: objective and subjective. In the objective category 4 subcategories and 40 attributes were found, and in the subjective one 5 subcategories and 54 attributes were found. This is the first time that all these criteria are presented in a single document, which is the input for designing a comprehensive quality assurance tool for user experience in augmented reality.","2169-3536","","10.1109/ACCESS.2022.3216860","Program “Convocatoria 785 Doctorados Nacionales 2017,”; Universidad del Norte; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928275","Augmented reality (AR);category;quality attributes;user experience (UX);user interface (UI)","User experience;Augmented reality;Indexes;Computer science;User experience;Systematics;User interfaces","augmented reality;data mining;quality assurance;software quality","user experience;attribute identification;primary studies;IEEE Xplore;ACM repositories;objective category 4 subcategories;subjective one 5 subcategories;single document;comprehensive quality assurance tool;augmented reality;quality attributes","","","","134","CCBYNCND","25 Oct 2022","","","IEEE","IEEE Journals"
"Process of Materials Picking Using Augmented Reality","K. Żywicki; P. Buń","Faculty of Mechanical Engineering, Poznań University of Technology, Poznań, Poland; Faculty of Mechanical Engineering, Poznań University of Technology, Poznań, Poland","IEEE Access","27 Jul 2021","2021","9","","102966","102974","The thesis describes the research conducted on the effectiveness of purposed Augmented Reality solutions for material identification in the production system. The research was carried out at the Smart Factory laboratory of the Poznan University of Technology and was divided into two stages. In the first stage, the research has been conducted to identify both of the best variants of application and the AR smart glasses which were used in second stage. The time of identification and completion of production parts obtained using the AR technique and the traditional technique were compared during the second stage of the research. The results of the second experiment show that the AR method is efficacious for identifying materials in a production system; however, the traditional method time is shorter. This proves that the traditional method is more effective and therefore AR solutions need to be improved.","2169-3536","","10.1109/ACCESS.2021.3096915","Polish Ministry of Education and Science from the Financial Means, in 2021; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9481895","Industry 4.0;augmented reality;smart factory;manufacturing logistic","Production;Augmented reality;Production systems;Smart manufacturing;Companies;Glass;Training","augmented reality;control engineering computing;materials handling;production engineering computing","augmented reality;material identification;production system;Smart Factory laboratory;AR smart glasses;production parts;materials picking process;Poznan University of Technology;Industry 4.0","","7","","44","CCBY","13 Jul 2021","","","IEEE","IEEE Journals"
"Critical Success Factors for Virtual Reality Applications in Orthopaedic Surgical Training: A Systematic Literature Review","M. Y. Bajuri; Y. Benferdia; M. N. Ahmad","Department of Orthopaedics and Traumatology, Faculty of Medicine, Universiti Kebangsaan Malaysia, Kuala Lumpur, Malaysia; Institute of IR4.0, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Institute of IR4.0, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia","IEEE Access","22 Sep 2021","2021","9","","128574","128589","There is an increasing pressure to improve the cost-effectiveness of orthopaedic training, both temporally and financially. Accordingly, virtual reality (VR) has been incorporated into a number of surgical training programs, providing trainees a safe yet realistic environment to practice their craft before going into the operating room. Identification of critical success factors (CSFs) for VR integration in the orthopaedic training program, can be beneficial in guiding the focus of healthcare providers and VR designers during the VR platform development stage. The aim of this study is to identify VR-based training CSFs that encourage orthopaedic surgeons to use VR as a method for acquiring, maintaining, and improving skills. A total of 74 studies conducted between 2011 and 2021 were selected and examined. There were 73 CSFs listed as being essential for VR adoption in orthopaedic surgical training. The CSFs were divided into six general categories: HCI/VR Features, Learning Outcome, Usability, Control and Active Learning, Student and Limitation factors. Subsequently, recommendations were made to guide healthcare professionals, researchers, and designers for optimal adoption of VR in orthopaedic surgical training in the future.","2169-3536","","10.1109/ACCESS.2021.3112345","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9536582","Arthroscopy;critical success factors;orthopaedic training;virtual reality","Surgery;Training;Virtual reality;Diseases;Musculoskeletal system;Task analysis","biomedical education;computer based training;health care;human computer interaction;medical computing;orthopaedics;surgery;training;virtual reality","virtual reality applications;orthopaedic surgical training;systematic literature review;surgical training programs;VR integration;orthopaedic training program;VR platform development stage;VR-based training CSFs;orthopaedic surgeons","","","","35","CCBY","13 Sep 2021","","","IEEE","IEEE Journals"
"Towards a Virtual Domain Based Authentication on MapReduce","I. Lahmer; N. Zhang","School of Computer Science, The University of Manchester, Manchester, U.K.; School of Computer Science, The University of Manchester, Manchester, U.K.","IEEE Access","20 May 2017","2016","4","","1658","1675","This paper has proposed a novel authentication solution for the MapReduce (MR) model, a new distributed and parallel computing paradigm commonly deployed to process Big Data by major IT players, such as Facebook and Yahoo. It identifies a set of security, performance, and scalability requirements that are specified from a comprehensive study of a job execution process using MR and security threats and attacks in this environment. Based on the requirements, it critically analyzes the state-of-the-art authentication solutions, discovering that the authentication services currently proposed for the MR model is not adequate. This paper then presents a novel layered authentication solution for the MR model and describes the core components of this solution, which includes the virtual domain based authentication framework (VDAF). These novel ideas are significant, because, first, the approach embeds the characteristics of MR-in-cloud deployments into security solution designs, and this will allow the MR model be delivered as a software as a service in a public cloud environment along with our proposed authentication solution; second, VDAF supports the authentication of every interactions by any MR components involved in a job execution flow, so long as the interactions are for accessing resources of the job; third, this continuous authentication service is provided in such a manner that the costs incurred in providing the authentication service should be as low as possible.","2169-3536","","10.1109/ACCESS.2016.2558456","Ministry of Higher Education and Scientific Research of Libya; National Oil Corporation Libya (NOC-Libya); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460118","MapReduce;Authentication for MapReduce;Cloud Computing Security;Security Requirements;Security Threats;MapReduce;authentication for mapreduce;cloud computing security;security requirements;security threats","Authentication;Analytical models;Cloud computing;Computational modeling;Scalability;Paralllel processing","Big Data;cloud computing;parallel processing;security of data","virtual domain based authentication framework;MapReduce;MR model;parallel computing paradigm;distributed computing paradigm;Yahoo;Facebook;Big Data processing;job execution process;security threats;layered authentication solution;VDAF;MR-in-cloud deployment characteristics;software as a service;public cloud environment;continuous authentication service","","3","","24","CCBY","27 Apr 2016","","","IEEE","IEEE Journals"
"Overview of Edge Computing in the Agricultural Internet of Things: Key Technologies, Applications, Challenges","X. Zhang; Z. Cao; W. Dong","College of Electronic and Information, Northeast Agricultural University, Harbin, China; College of Electronic and Information, Northeast Agricultural University, Harbin, China; College of Electronic and Information, Northeast Agricultural University, Harbin, China","IEEE Access","10 Aug 2020","2020","8","","141748","141761","The application of the Internet of Things in agricultural development usually occurs via a monitoring network that consists of a large number of sensor nodes, thus gradually transforming agriculture from a human-oriented and single-machine-centric production model to an information- and software-centric production model. Due to the large area coverage of agriculture and the variety of production objects, if all farmland perception information is gathered into the cloud server, the server will exert greater pressure on the network, which reduces the speed of response to event processing. This problem may be perfectly solved by the recent emergence of Edge computing, which can share the load of the cloud server and reduce the delay. Edge computing has prospects in agricultural applications, such as pest identification, safety traceability of agricultural products, unmanned agricultural machinery, agricultural technology promotion, and intelligent management. The application of the Agricultural Internet of Things integrates artificial intelligence, the Internet of Things, and blockchain and Virtual/Augmented Reality technologies. This paper primarily reviews the application of Edge computing in the Agricultural Internet of Things and investigates the combination of Edge computing and Artificial Intelligence, blockchain and Virtual/Augmented reality technology. The challenges of Edge computing task allocation, data processing, privacy protection and security, and service stability in agriculture are reviewed. The future development direction of Edge computing in the Agricultural Internet of Things is predicted.","2169-3536","","10.1109/ACCESS.2020.3013005","Natural Science Foundation of Heilongjiang Province of China(grant numbers:C2018023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153160","The Agricultural Internet of Things;artificial intelligence;blockchain;edge computing;smart agriculture;virtual/augmented reality","Edge computing;Cloud computing;Internet of Things;Agriculture;Servers;Production;Monitoring","agricultural products;agriculture;artificial intelligence;augmented reality;cloud computing;cryptography;data privacy;distributed databases;Internet of Things;reviews;sensors","privacy protection;data processing;virtual-augmented reality technologies;blockchain;artificial intelligence;farmland perception;information-centric production model;agricultural Internet of Things;sensor nodes;edge computing task allocation;human-oriented production model;agricultural products;cloud server;software-centric production model;single-machine-centric production model","","33","","93","CCBY","31 Jul 2020","","","IEEE","IEEE Journals"
"Construction of the Virtual Embodiment Questionnaire (VEQ)","D. Roth; M. E. Latoschik",Technical University of Munich; University of Würzburg,"IEEE Transactions on Visualization and Computer Graphics","10 Nov 2020","2020","26","12","3546","3556","User embodiment is important for many virtual reality (VR) applications, for example, in the context of social interaction, therapy, training, or entertainment. However, there is no data-driven and validated instrument to empirically measure the perceptual aspects of embodiment, necessary to reliably evaluate this important phenomenon. To provide a method to assess components of virtual embodiment in a reliable and consistent fashion, we constructed a Virtual Embodiment Questionnaire (VEQ). We reviewed previous literature to identify applicable constructs and questionnaire items, and performed a confirmatory factor analysis (CFA) on the data from three experiments (N = 196). The analysis confirmed three factors: (1) ownership of a virtual body, (2) agency over a virtual body, and (3) the perceived change in the body schema. A fourth study (N = 22) was conducted to confirm the reliability and validity of the scale, by investigating the impacts of latency and latency jitter present in the simulation. We present the proposed scale and study results and discuss resulting implications.","1941-0506","","10.1109/TVCG.2020.3023603","Center for Digitalization in Bavaria; XR Hub Bavaria initiative of the Bavarian State Ministry of Digitalization; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9199571","Virtual Embodiment;Body Ownership;Agency;Avatars;Virtual Reality","Avatars;User centered design;User interfaces;Social factors;Virtualization","statistical analysis;virtual reality","virtual embodiment questionnaire;VEQ;user embodiment;virtual reality applications;confirmatory factor analysis;virtual body","Adult;Computer Graphics;Female;Humans;Male;Psychometrics;Social Identification;Surveys and Questionnaires;User-Computer Interface;Virtual Reality;Young Adult","50","","95","CCBY","17 Sep 2020","","","IEEE","IEEE Journals"
"ParaDefender: A Scenario-Driven Parallel System for Defending Metaverses","J. Han; M. Yang; X. Chen; H. Liu; Y. Wang; J. Li; Z. Su; Z. Li; X. Ma","School of Software Engineering, Xi’an Jiaotong University, Xi’an, China; Macau Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; Macau Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; MOE Key Laboratory for Intelligent Networks and Network Security, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; MOE Key Laboratory for Intelligent Networks and Network Security, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; MOE Key Laboratory for Intelligent Networks and Network Security, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; MOE Key Laboratory for Intelligent Networks and Network Security, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; North Automatic Control Technology Institute, Taiyuan, China; MOE Key Laboratory for Intelligent Networks and Network Security, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China","IEEE Transactions on Systems, Man, and Cybernetics: Systems","16 Mar 2023","2023","53","4","2118","2127","The metaverse, as an instance of cyber–physical–social systems (CPSS) that originates in cyber–physical systems (CPS), features growing complexity, and diversity in terms of functionalities, as well as the exponentially increasing demand in network bandwidth and computational resources, thereby leading to exaggerated security threats. However, compared with the extensive attention received by the metaverse, solutions defending against the threats have not kept pace. A major obstacle to such solutions is virtuality–reality-synthesized threats. Therefore, it is imperative to design new paradigms to defend the metaverse effectively. In this article, we advance a parallel system, dubbed ParaDefender, to defend the metaverse against emerging new threats effectively. Inspired by parallel intelligence, ParaDefender comprises artificial cyberspace, computational experiments, and parallel execution. The basic idea is to make artificial and real cyberspaces executed in parallel to mutually guide each other for enhanced security, wherein the parallel execution is scenario driven in the sense that the scenarios originate from all possible spatial–temporal combinations of security threats in the metaverse. We also demonstrate how to land ParaDefender onto real-world applications, including the Industrial Internet of Things (IIoT) security operation application in the industrial metaverse, and the social governance application.","2168-2232","","10.1109/TSMC.2022.3228928","National Key Research and Development Program of China(grant numbers:2018AAA0101502); Joint Science and Technology Project of SGCC (State Grid Corporation of China): Fundamental Theory of Human-in-the-Loop Hybrid-Augmented Intelligence for Power Grid Dispatch and Control; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997137","Cyber–physical–social systems (CPSS);parallel intelligence (PI);parallel security;scenario engineering (SE);security in metaverses","Cyberspace;Security;Metaverse;Computational modeling;Data models;Task analysis;Cybernetics","","","","","","87","CCBY","22 Dec 2022","","","IEEE","IEEE Journals"
"Development of Virtual Reality Serious Game for Underground Rock-Related Hazards Safety Training","Z. Liang; K. Zhou; K. Gao","School of Resources and Safety Engineering, Central South University, Changsha, China; School of Resources and Safety Engineering, Central South University, Changsha, China; School of Resources and Safety Engineering, Central South University, Changsha, China","IEEE Access","30 Aug 2019","2019","7","","118639","118649","Traditional safety training media to transfer safety knowledge specific to the rock-related hazards in underground mines are mainly video or manuals, which are inefficient and bring a poor training experience. In this paper, we designed and developed a serious game based on virtual reality (VR) technology in order to efficiently transfer safety knowledge and enable enhanced interactive safety training. For different training purposes and users, we designed two modes, one for professional scaling training suitable for novice scalers, the other for rock-related hazards perception training suitable for other miners. Our game is built based on game engine-Unity3D and equipped with HTC VIVE to improve immersion. The game pipeline is to have trainees basically understand safety knowledge through guided interaction and then make a self-adaptive practice to fully master it. We evaluated the effectiveness of our game, and the results of the comparative experiment show that our game is more efficient than the instructional video in both training modes. The application of our game is proven to have the potential to change the safety situation of underground mines and evaluate the level of safety awareness and risk aversion of the miners in the future.","2169-3536","","10.1109/ACCESS.2019.2934990","Central South University(grant numbers:2018zzts728); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8795446","Safety training;underground mining;virtual reality;rock-related hazards;serious game","Games;Training;Rocks;Hazards;Virtual reality;Accidents","computer based training;design engineering;health hazards;industrial training;mining;mining industry;occupational safety;risk management;rocks;serious games (computing);virtual reality","underground mines;professional scaling training;game engine-Unity3D;risk aversion;virtual reality serious game design;hazards perception training;underground rock;HTC VIVE equipment","","35","","48","CCBY","13 Aug 2019","","","IEEE","IEEE Journals"
"Beyond Feeling Sick: The Visual and Cognitive Aftereffects of Virtual Reality","A. Szpak; S. C. Michalski; D. Saredakis; C. S. Chen; T. Loetscher","Cognitive Ageing and Impairment Neurosciences Laboratory, School of Psychology, Social Work and Social Policy, University of South Australia, Adelaide, Australia; Cognitive Ageing and Impairment Neurosciences Laboratory, School of Psychology, Social Work and Social Policy, University of South Australia, Adelaide, Australia; Cognitive Ageing and Impairment Neurosciences Laboratory, School of Psychology, Social Work and Social Policy, University of South Australia, Adelaide, Australia; Flinders Medical Center, Flinders University, Adelaide, Australia; Cognitive Ageing and Impairment Neurosciences Laboratory, School of Psychology, Social Work and Social Policy, University of South Australia, Adelaide, Australia","IEEE Access","20 Sep 2019","2019","7","","130883","130892","Despite continued improvements in virtual reality (VR) technologies, many people still experience adverse symptoms from using head-mounted displays (HMDs). Typically, these symptoms are monitored through self-report measures, such as the Simulator Sickness Questionnaire (SSQ); however, by only using subjective measures many symptoms may be overlooked. In an application-based study, we investigated visual and cognitive aftereffects of using HMDs and their relationship to the reporting of sickness on the SSQ. Visual (accommodation and vergence) and cognitive (reaction time and rapid visual processing) assessments were employed before and after participants engaged in a 30-minute VR table tennis game (VR group, n = 27) or went about their daily activities (control group, n = 28). The data showed changes in accommodation but no concurrent changes in vergence, which likely stems from decoupling accommodation and vergence in VR. Furthermore, larger changes in accommodation were linked to more severe sickness symptoms suggesting that decoupling accommodation and vergence could be more adverse than previously thought. The VR group also had slower decision (cognitive) times, but movement times were unaffected. These findings go beyond the typical self-reporting of sickness in VR studies. Moreover, we demonstrate that even in a high-quality commercial virtual environment, users may experience visual and cognitive aftereffects that may negatively influence their experience with subsequent activities in the real world. Developing an understanding of how VR aftereffects may influence later activities could help to minimise the risk of using HMDs for various applications and may be valuable to obtain a better understanding of user issues and VR safety.","2169-3536","","10.1109/ACCESS.2019.2940073","URIPA Grant; Australian Government Research Training Program Scholarship; National Health and Medical Research Council(grant numbers:GNT1136269); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8827502","Aftereffects;motion sickness;depth perception;vergence-accommodation conflict","Visualization;Fatigue;Virtual environments;Games;Sports;Stereo image processing","cognition;computer games;helmet mounted displays;human computer interaction;medical computing;virtual reality","reaction time;rapid visual processing;30-minute VR table tennis game;VR group;control group;concurrent changes;severe sickness symptoms;slower decision times;VR studies;high-quality commercial virtual environment;experience visual aftereffects;cognitive aftereffects;VR aftereffects;VR safety;sick;continued improvements;virtual reality technologies;experience adverse symptoms;head-mounted displays;self-report measures;Simulator Sickness Questionnaire;SSQ;subjective measures;application-based study;HMD","","31","","49","CCBY","9 Sep 2019","","","IEEE","IEEE Journals"
"A Fast and Deterministic Algorithm for Consensus Set Maximization","Z. Xing; Z. Shi","Shanghai Institute of Microsystem and Information Technology, Shanghai, Shanghai, CN; School of Information Science and Technology, ShanghaiTech University, Shanghai, China","IEEE Access","5 Jun 2018","2018","6","","26175","26180","With the current booming applications of virtual reality, augmented reality, and robotics, efficiently extracting the maximum consensus set among large-scale corrupted data has become a critical challenge. However, existing methods typically focus on optimization and are rarely concerned about the running time. In this paper, we propose a new fast and deterministic algorithm to address the consensus set maximization problem. First, we propose a novel formulation that transforms the original problem into a sequence of decision problems (DPs). Second, we propose an efficient algorithm to assess the feasibility of these DPs. Comprehensive experiments on linear hyper-plane regression and non-linear homography matrix estimation show that our approach is fully deterministic and can effectively process large-scale and highly corrupted data without any special initialization. Under a pure MATLAB implementation and a laptop CPU, our method can successfully determine the maximum consensus set from 1000 input data points (with 70% of them being outliers) at 30 Hz.","2169-3536","","10.1109/ACCESS.2018.2835302","Program of Shanghai Subject Chief Scientist (A type)(grant numbers:17XD1402900,15XD1502900); Science and Technology Commission of Shanghai Municipality(grant numbers:17JC1403800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360018","Consensus set maximization;outlier rejection;robust model fitting;homography matrix estimation;hyper-plane regression;computer vision;system identification","Mathematical model;Robustness;Approximation algorithms;Solid modeling;Data models;Optimization;Computational modeling","approximation theory;augmented reality;computer vision;deterministic algorithms;matrix algebra;optimisation;regression analysis;set theory","deterministic algorithm;consensus set maximization problem;decision problems;linear hyper-plane regression;maximum consensus set;current booming applications;virtual reality;augmented reality;large-scale corrupted data;running time;non-linear homography matrix estimation;frequency 30.0 Hz","","1","","17","OAPA","16 May 2018","","","IEEE","IEEE Journals"
"Choice of Distribution Channels for Experience Products Using Virtual Reality","J. Wu; F. Lu; J. Zhang; J. Yang; L. Xing","Central South University of Forestry and Technology, Changsha, Hunan, CN; Central South University of Forestry and Technology, Changsha, Hunan, CN; National University of Defense Technology, Changsha, Hunan, CN; College of Engineering, Shanghai Polytechnic University, Shanghai, China; Central South University of Forestry and Technology, Changsha, Hunan, CN","IEEE Access","10 Jul 2019","2019","7","","85319","85326","Research on product distribution channels has mainly focused on channel cost, risk aversion, consumer fairness preference, price decision, channel coordination, and channel selection while paying less attention to the product experience. Compared with offline channels, the online channel is at a disadvantage with regards to the product experience. For experience products, consumers cannot accurately access the value of the products through online channels because of its virtuality. In contrast, offline channels can attract more consumers with real product experience. However, the application of virtual reality technology has become increasingly more extensive in recent years. Virtual reality technology enhances the interaction level between online consumers and experience products, and it can help consumers assess product value more accurately, which has a greater impact on consumers’ purchase decisions. Manufacturers can make full use of virtual reality technology to expand online sales. To maximize the manufacturers’ revenue, this paper uses consumer utility theory and game theory to design four experience products’ distribution channel models and analyzes the relationship between the manufacturers’ revenue in different distribution channel models and virtual reality technology. The results show when the interaction level of virtual reality technology is low, manufacturers tend to choose a dual distribution channel, but when the interaction level of virtual reality technology is high, a single online distribution channel is the best choice for manufacturers.","2169-3536","","10.1109/ACCESS.2019.2920308","China Scholarship Council(grant numbers:201608430270); Social Science of Hunan Province(grant numbers:17YBA127); Education Department of Hunan Province(grant numbers:15B070,18A172); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8727960","Virtual reality technology;experience products;consumer utility;game theory;distribution channel;purchase decisions","Virtual reality;Game theory;Consumer behavior;Channel models;Switches;Supply chains;Utility theory","consumer behaviour;electronic commerce;game theory;Internet;pricing;purchasing;retail data processing;utility theory;virtual reality","experience products;product distribution channels;channel cost;consumer fairness preference;channel coordination;channel selection;product experience;offline channels;virtual reality technology;online consumers;product value;consumer utility theory;game theory;dual distribution channel;single online distribution channel;consumer purchase decisions","","1","","30","OAPA","3 Jun 2019","","","IEEE","IEEE Journals"
